variant_id,task_id,agent_run_id,resolved,valid_evaluation,failure_type,react_steps,tool_calls,tokens,latency_ms,searched_before_edit,inspected_tests_before_edit,patch_attempts
A,task_010,final-v1-A-task_010-r01,False,True,TARGET_TEST_FAILED,9,10,21014,29706,False,True,1
A,task_010,final-v1-A-task_010-r02,False,True,TARGET_TEST_FAILED,11,13,35149,36654,False,True,1
A,task_010,final-v1-A-task_010-r03,False,True,TARGET_TEST_FAILED,8,8,18251,22900,False,True,1
A,task_011,final-v1-A-task_011-r01,True,True,RESOLVED,8,8,16250,13803,False,True,3
A,task_011,final-v1-A-task_011-r02,True,True,RESOLVED,6,7,13326,10545,True,True,1
A,task_011,final-v1-A-task_011-r03,True,True,RESOLVED,7,8,13711,12153,False,True,3
A,task_012,final-v1-A-task_012-r01,True,True,RESOLVED,8,11,23966,20036,True,True,1
A,task_012,final-v1-A-task_012-r02,True,True,RESOLVED,6,10,16924,15909,True,True,1
A,task_012,final-v1-A-task_012-r03,True,True,RESOLVED,7,11,20083,20631,True,True,1
B,task_010,final-v1-B-task_010-r01,True,True,RESOLVED,6,6,12098,11319,False,True,1
B,task_010,final-v1-B-task_010-r02,False,True,TARGET_TEST_FAILED,11,12,34444,35209,True,True,1
B,task_010,final-v1-B-task_010-r03,True,True,RESOLVED,7,7,15125,13762,False,True,2
B,task_011,final-v1-B-task_011-r01,True,True,RESOLVED,5,6,8851,8335,True,True,1
B,task_011,final-v1-B-task_011-r02,True,True,RESOLVED,6,7,11591,10074,True,True,1
B,task_011,final-v1-B-task_011-r03,True,True,RESOLVED,6,7,12909,10568,True,True,1
B,task_012,final-v1-B-task_012-r01,True,True,RESOLVED,9,12,29058,25843,True,True,2
B,task_012,final-v1-B-task_012-r02,True,True,RESOLVED,7,11,23013,18865,True,True,1
B,task_012,final-v1-B-task_012-r03,True,True,RESOLVED,10,12,34080,28592,False,True,3
C,task_010,final-v1-C-task_010-r01,False,True,TARGET_TEST_FAILED,10,13,25994,25063,True,True,1
C,task_010,final-v1-C-task_010-r02,True,True,RESOLVED,10,11,32439,33443,False,True,5
C,task_010,final-v1-C-task_010-r03,True,True,RESOLVED,9,10,24053,20908,True,True,3
C,task_011,final-v1-C-task_011-r01,True,True,RESOLVED,5,5,8379,9277,False,True,1
C,task_011,final-v1-C-task_011-r02,True,True,RESOLVED,6,6,10837,9613,False,True,1
C,task_011,final-v1-C-task_011-r03,True,True,RESOLVED,7,7,13429,9992,False,True,2
C,task_012,final-v1-C-task_012-r01,True,True,RESOLVED,10,12,30417,20970,True,True,3
C,task_012,final-v1-C-task_012-r02,True,True,RESOLVED,7,9,17018,16582,False,True,1
C,task_012,final-v1-C-task_012-r03,True,True,RESOLVED,6,8,14414,16496,False,True,1
D,task_010,final-v1-D-task_010-r01,True,True,RESOLVED,6,6,11524,12713,False,True,1
D,task_010,final-v1-D-task_010-r02,False,True,AGENT_ERROR,3,5,4085,280112,False,True,0
D,task_010,final-v1-D-task_010-r03,True,True,RESOLVED,10,14,34220,23961,True,True,3
D,task_011,final-v1-D-task_011-r01,True,True,RESOLVED,5,5,8448,8342,False,True,1
D,task_011,final-v1-D-task_011-r02,True,True,RESOLVED,5,6,8559,8181,True,True,1
D,task_011,final-v1-D-task_011-r03,True,True,RESOLVED,8,8,16049,11585,True,True,1
D,task_012,final-v1-D-task_012-r01,True,True,RESOLVED,6,9,15287,17329,False,True,2
D,task_012,final-v1-D-task_012-r02,True,True,RESOLVED,7,9,18620,19716,False,True,2
D,task_012,final-v1-D-task_012-r03,True,True,RESOLVED,8,10,24650,21163,True,True,2
